product,model,train_rows_used,test_rows,train_positive_rate,test_positive_rate,roc_auc,average_precision,expected_revenue_top_20pct
BAGGAGE,xgboost,98595,125250,0.2,0.05247904191616767,0.8023674229127692,0.22852964330431053,10.912839071774426
BAGGAGE,logistic_regression,98595,125250,0.2,0.05247904191616767,0.70348366553925,0.10758467572969659,11.343741855765593
PET,xgboost,60000,93416,0.05438333333333333,0.011646827096000685,0.7733465170291213,0.05343255736584529,13.310555789161212
PET,logistic_regression,60000,93416,0.05438333333333333,0.011646827096000685,0.6300219623404665,0.017278187812987553,9.390117596027949
SPECIAL EQUIPMENT,xgboost,60000,74595,0.023966666666666667,0.006434747637241102,0.8456806426949111,0.0658991729655147,14.53532283756395
SPECIAL EQUIPMENT,logistic_regression,60000,74595,0.023966666666666667,0.006434747637241102,0.6590412703231463,0.010075834688479833,15.027662812507046
