DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
9.0,420.3918688,23.458333333333332,4,2,0,2,0,1,0,0,0,4,1,563.9166666666666,9.0,94.39732,1,0,BAGGAGE,UPPER APEX,LANG_02,Round-Trip,google,MetaSearches,MetaSearches,Logged-Out,AREA_B,AREA_C,AREA_B_TO_AREA_C,BE,CA,8_14,very_high,15_30,Y,W,1,0.9037327,85.3099464846301
,582.5248338,22.1875,6,3,0,3,0,1,0,1,0,4,1,533.4166666666666,23.0,89.42904,2,0,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BE,BU,,very_high,15_30,Y,U,1,0.95166713,85.10667783486844
,499.581969,14.42361111111111,6,4,0,1,1,1,0,0,0,2,1,360.8333333333333,14.0,90.6214272,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,,very_high,15_30,Y,W,1,0.9344406,84.6803419649414
22.0,204.3256546,7.239583333333333,2,2,0,0,0,0,0,0,0,2,1,188.25,10.0,114.2841456,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Direct,Direct,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,15_30,very_high,6_8,Y,U,0,0.7391887,84.47754571524125
54.0,305.0472524,50.21180555555556,2,2,0,0,0,0,0,1,1,2,1,1221.25,9.0,134.14356,3,1,BAGGAGE,LOWER VERTEX,LANG_02,Round-Trip,google,MetaSearches,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BO,31_60,very_high,30_plus,Y,W,0,0.6233419,83.6173039766264
83.0,383.2865266,7.829861111111111,2,2,0,0,0,0,0,1,1,2,1,193.83333333333334,20.0,135.9321408,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Direct,Organic Social,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CA,61_120,very_high,6_8,Y,L,0,0.6079965,82.64626902203865
47.0,309.2163246,8.847222222222221,2,2,0,0,0,0,0,0,0,2,1,218.25,22.0,135.9321408,3,1,BAGGAGE,WEST VERTEX,LANG_02,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CA,31_60,very_high,9_14,Y,S,0,0.60601044,82.3762960501465
14.0,92.9299642,,3,2,0,1,0,1,0,0,0,1,0,2.75,14.0,98.2066202,2,1,BAGGAGE,NEW MERIDIAN,LANG_02,One-Way,apple,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CI,8_14,high,unknown_or_oneway,Y,V,0,0.83833015,82.32957060894306
8.0,114.133384,,4,4,0,0,0,0,0,1,1,2,1,5.833333333333333,14.0,98.183492,1,0,BAGGAGE,UPPER APEX,LANG_09,One-Way,google,Paid MetaSearches,MetaSearches,Logged-In,AREA_C,AREA_C,AREA_C_TO_AREA_C,CU,CE,8_14,very_high,unknown_or_oneway,Y,S,0,0.83303434,81.790220120044
9.0,481.1029655,,5,4,1,0,0,0,1,0,0,2,1,504.75,18.0,90.6214272,2,1,BAGGAGE,UPPER APEX,LANG_09,Multi-City,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,8_14,very_high,unknown_or_oneway,Y,U,1,0.8856002,80.25435488959808
