iter	Logloss
0	0.6817185313
1	0.6724870244
2	0.6623797211
3	0.6571349364
4	0.6521186023
5	0.6469459332
6	0.6436324618
7	0.6407830933
8	0.6363523706
9	0.6343447582
10	0.6323794204
11	0.6309579104
12	0.6285232141
13	0.6267620424
14	0.6252055039
15	0.6225168542
16	0.6216401029
17	0.6204370784
18	0.618980242
19	0.6175203622
20	0.6165140427
21	0.6155813892
22	0.6148200421
23	0.613930506
24	0.6132619202
25	0.6122770179
26	0.6114034796
27	0.6104235148
28	0.6091693363
29	0.608577004
30	0.6076870946
31	0.6068982299
32	0.6063287371
33	0.6054245397
34	0.6047701244
35	0.6041307641
36	0.6034259198
37	0.6028521593
38	0.6021055628
39	0.6012282013
40	0.6007625858
41	0.6001750791
42	0.599056885
43	0.5984422524
44	0.5979849206
45	0.5975108797
46	0.5970636377
47	0.5966494153
48	0.5961183622
49	0.5956223031
50	0.5952139961
51	0.594745214
52	0.5943266898
53	0.5939254882
54	0.5936028048
55	0.5933210773
56	0.5921447366
57	0.5914158129
58	0.5908985424
59	0.5905507955
60	0.5902571163
61	0.5899006471
62	0.589691896
63	0.5892463554
64	0.5890338512
65	0.5885156022
66	0.5882435729
67	0.5876217314
68	0.5872559604
69	0.5870491312
70	0.5867474351
71	0.5865345452
72	0.5861086335
73	0.5855648464
74	0.5851801421
75	0.5849516954
76	0.5847207809
77	0.5843883224
78	0.5839736949
79	0.5836069782
80	0.5832542661
81	0.5829717979
82	0.5826760851
83	0.5824147827
84	0.5813568885
85	0.5809896781
86	0.5806735192
87	0.580438726
88	0.5802020636
89	0.5794897702
90	0.5790653036
91	0.5786625709
92	0.5784029563
93	0.5781431212
94	0.5779438615
95	0.5774353937
96	0.5772552275
97	0.576697104
98	0.5765274087
99	0.5763494977
100	0.5759774419
101	0.5757342842
102	0.5753875543
103	0.5751040574
104	0.5745940138
105	0.5743252983
106	0.574079185
107	0.5738545916
108	0.5736166337
109	0.573483878
110	0.573131095
111	0.5728672879
112	0.5726879423
113	0.5721561709
114	0.5718757661
115	0.5716557627
116	0.5712398706
117	0.5708939069
118	0.5703698352
119	0.570129581
120	0.5696344916
121	0.5694431874
122	0.569240989
123	0.5688986446
124	0.5686495341
125	0.5680732977
126	0.5677633326
127	0.5670248878
128	0.5665421316
129	0.5662094818
130	0.5659507352
131	0.5653640177
132	0.565002078
133	0.5646489284
134	0.5641333505
135	0.5636437611
136	0.5624027927
137	0.562044864
138	0.5616954841
139	0.561412097
140	0.5611139395
141	0.5606037576
142	0.560085889
143	0.5597520354
144	0.5591438739
145	0.5586912895
146	0.5581502278
147	0.5577638529
148	0.5574090944
149	0.5571659698
150	0.5569072279
151	0.5564492734
152	0.5555610588
153	0.5551357324
154	0.5545598045
155	0.5541684072
156	0.5534870187
157	0.5530402318
158	0.5526941682
159	0.5522292302
160	0.5518716969
161	0.5514117036
162	0.5509221495
163	0.5505249686
164	0.5500475388
165	0.5493939977
166	0.5489218913
167	0.5486610975
168	0.5482978287
169	0.5479644024
170	0.5476833696
171	0.5473114613
172	0.5467988881
173	0.5464432635
174	0.5461337576
175	0.5456820774
176	0.5452736103
177	0.5449303594
178	0.5444387285
179	0.5440237467
180	0.5435206516
181	0.5430310166
182	0.542756568
183	0.5423852988
184	0.542095252
185	0.5415496009
186	0.5411160577
187	0.5407001917
188	0.5399815472
189	0.5396005912
190	0.5392682454
191	0.5389649671
192	0.5386692744
193	0.5384044745
194	0.5380692333
195	0.5376517154
196	0.5371570574
197	0.5368824233
198	0.5363410208
199	0.5359936035
