product,model,train_rows_used,test_rows,train_positive_rate,test_positive_rate,roc_auc,average_precision,expected_revenue_top_20pct,best_iteration
BAGGAGE,xgboost,98595,125250,0.2,0.0524790419161676,0.8023674229127692,0.2285296433043105,10.912839071774426,
BAGGAGE,logistic_regression,98595,125250,0.2,0.0524790419161676,0.70348366553925,0.1075846757296965,11.343741855765591,
PET,xgboost,60000,93416,0.0543833333333333,0.0116468270960006,0.7733465170291213,0.0534325573658452,13.310555789161212,
PET,logistic_regression,60000,93416,0.0543833333333333,0.0116468270960006,0.6300219623404665,0.0172781878129875,9.390117596027949,
SPECIAL EQUIPMENT,xgboost,60000,74595,0.0239666666666666,0.0064347476372411,0.8456806426949111,0.0658991729655147,14.53532283756395,
SPECIAL EQUIPMENT,logistic_regression,60000,74595,0.0239666666666666,0.0064347476372411,0.6590412703231463,0.0100758346884798,15.027662812507046,
BAGGAGE,catboost,98595,125250,0.2,0.05247904191616767,0.83900735103989,0.30832561063050473,10.71602601820314,449.0
PET,catboost,70000,93416,0.04661428571428571,0.011646827096000685,0.8165640205141389,0.13876991282028311,13.804722978971121,449.0
SPECIAL EQUIPMENT,catboost,70000,74595,0.020542857142857144,0.006434747637241102,0.8708727147001282,0.1308785725373321,12.62505438947806,445.0
