product,model,train_rows_used,test_rows,train_positive_rate,test_positive_rate,roc_auc,average_precision,expected_revenue_top_20pct,best_iteration
BAGGAGE,catboost,98595,125250,0.2,0.05247904191616767,0.83900735103989,0.30832561063050473,10.71602601820314,449
PET,catboost,70000,93416,0.04661428571428571,0.011646827096000685,0.8165640205141389,0.13876991282028311,13.804722978971121,449
SPECIAL EQUIPMENT,catboost,70000,74595,0.020542857142857144,0.006434747637241102,0.8708727147001282,0.1308785725373321,12.62505438947806,445
