DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
8.0,282.737962,,4,4,0,0,0,0,0,0,0,4,1,1.8333333333333333,19.0,93.746304,1,0,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,mozilla,Direct,Paid Search,Logged-Out,AREA_B,AREA_B,AREA_B_TO_AREA_B,BE,BI,8_14,very_high,unknown_or_oneway,Y,W,0,0.952131520176344,89.25881093843367
9.0,481.1029655,,5,4,1,0,0,0,1,0,0,2,1,504.75,18.0,90.6214272,2,1,BAGGAGE,UPPER APEX,LANG_09,Multi-City,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,8_14,very_high,unknown_or_oneway,Y,U,1,0.9787603353081179,88.69665847237219
174.0,336.47033849999997,9.21875,3,3,0,0,0,0,0,0,0,2,1,241.83333333333334,7.0,95.1631204,1,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,120_plus,very_high,9_14,Y,O,0,0.9309918996173188,88.59609423470762
129.0,373.0514414999999,13.211805555555555,5,5,0,0,0,0,0,0,0,2,1,333.25,17.0,89.42904,1,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BO,120_plus,very_high,9_14,Y,O,1,0.9750103919402048,87.19424334123624
94.0,469.4956072,20.447916666666668,4,4,0,0,0,0,0,0,0,2,1,511.3333333333333,11.0,90.6214272,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,microsoft,Email,MetaSearches,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,61_120,very_high,15_30,Y,U,1,0.9472526633672953,85.84138827334546
42.0,309.34395800000004,24.006944444444443,4,3,1,0,0,0,1,0,0,4,1,577.0833333333334,9.0,87.732972,1,0,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,microsoft,Email,MetaSearches,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BU,31_60,very_high,15_30,Y,O,1,0.9737529514761015,85.43024042677018
93.0,610.8106223999999,8.121527777777779,6,6,0,0,0,0,0,0,0,2,1,209.33333333333334,23.0,90.6214272,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,apple,Paid Search,Organic Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,61_120,very_high,9_14,Y,O,1,0.9348496201148584,84.7174067921863
35.0,553.2984984,17.229166666666668,4,3,1,0,0,0,1,0,0,2,1,434.0833333333333,19.0,89.2645728,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,31_60,very_high,15_30,Y,U,0,0.9462689760979391,84.46829590527595
73.0,392.4906936,6.333333333333333,3,3,0,0,0,0,0,1,0,2,1,166.41666666666666,15.0,90.6214272,1,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,61_120,very_high,6_8,Y,W,0,0.9128023344932711,82.71945030327201
118.0,382.4770396,10.222222222222221,4,2,1,1,0,1,1,1,0,2,1,260.0,10.0,90.6214272,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,very_high,9_14,Y,U,0,0.9126338104208707,82.70417841131353
34.0,331.6429692,,9,9,0,0,0,0,0,1,0,1,0,2.3333333333333335,10.0,87.3732,2,0,BAGGAGE,UPPER APEX,LANG_09,One-Way,google,Direct,Organic Search,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BA,BE,31_60,very_high,unknown_or_oneway,Y,H,0,0.9394904803503582,82.08628963774791
14.0,92.9299642,,3,2,0,1,0,1,0,0,0,1,0,2.75,14.0,98.2066202,2,1,BAGGAGE,NEW MERIDIAN,LANG_02,One-Way,apple,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_C,AREA_C_TO_AREA_C,CA,CI,8_14,high,unknown_or_oneway,Y,V,0,0.8357923291559963,82.08033983549632
133.0,390.38645570000006,25.118055555555557,4,2,1,1,0,1,1,0,0,4,1,604.5,13.0,91.9405912,3,0,BAGGAGE,CENTRAL HORIZON,LANG_02,Round-Trip,google,Direct,Direct,Logged-Out,AREA_D,AREA_B,AREA_D_TO_AREA_B,DA,BI,120_plus,very_high,15_30,Y,L,0,0.8909626362578084,81.91563151465346
111.0,594.2255614999999,6.71875,7,2,0,5,0,1,0,1,0,4,1,164.75,13.0,87.4965504,1,0,BAGGAGE,LOWER VERTEX,LANG_02,Round-Trip,microsoft,Organic Search,Organic Search,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BU,BA,61_120,very_high,6_8,Y,V,1,0.9355555949105278,81.85788726209098
184.0,226.4285044,14.847222222222221,2,2,0,0,0,0,0,1,0,4,1,359.25,16.0,131.8418758,1,0,BAGGAGE,NEW APEX,LANG_02,Round-Trip,mozilla,Paid Search,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BU,120_plus,very_high,15_30,Y,L,0,0.6195097367704612,81.67732577218183
244.0,422.547931,14.21875,5,4,0,1,0,1,0,0,0,2,1,355.4166666666667,16.0,84.3716736,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,mozilla,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,120_plus,very_high,15_30,Y,U,1,0.9644137744370442,81.36920419214631
78.0,129.1804196,7.90625,2,2,0,0,0,0,0,0,0,4,1,191.08333333333334,18.0,115.165587,1,0,BAGGAGE,CENTRAL AURORA,LANG_01,Round-Trip,google,Organic Search,Organic Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CI,BU,61_120,very_high,6_8,Y,V,0,0.7041476030094698,81.09357203522855
221.0,1555.0305232,15.0,7,4,3,0,0,0,1,0,0,2,1,367.25,19.0,90.6214272,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Direct,Organic Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,120_plus,very_high,15_30,Y,T,1,0.8908899156131654,80.73371563095262
89.0,421.3512608,10.253472222222221,4,2,0,2,0,1,0,1,0,4,1,248.5,17.0,92.1256168,3,0,BAGGAGE,SOUTH MERIDIAN,LANG_02,Round-Trip,google,Direct,Email,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CA,61_120,very_high,9_14,Y,W,0,0.8753384626682799,80.64109578207906
