,MARKET,LANGUAGE,FLIGHT_TYPE,DTD,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,ADULTS,TEENAGERS,CHILDREN,INFANTS,HOUR_OF_THE_DAY_PL_TIME,LOGIN_STATUS,LOYALTY_MEMBERSHIP_PROGRAM,FARE_YQ_TICKET,CALCULATED_DTD,IS_ANOMALY_DTD,TOTAL_PASSENGERS,HAS_CHILDREN_OR_INFANTS,TRIP_MONTH,TRIP_DAY_OF_WEEK,IS_WEEKEND_FLIGHT,TRIP_QUARTER,NUMBER_OF_SEGMENTS,IS_DIRECT_FLIGHT,TOTAL_EMD_SPEND,TOTAL_REVENUE,BOOKING_WINDOW,IS_SOLO_TRAVELER,IS_FAMILY,IS_ADULT_GROUP,ADULT_RATIO,ORIGIN_AIRPORT,DESTINATION_AIRPORT,FLIGHT_TIME_OF_DAY,TARGET_BUSINESS_LOUNGE,TARGET_MEAL,TARGET_PET,TARGET_SPECIAL_EQUIPMENT,TARGET_FAST_TRACK,TARGET_BAGGAGE
1030,NEW HORIZON,LANG_02,Round-Trip,62.0,google,Direct,Organic Search,1,0,0,0,17.0,Logged-Out,No_Program,255.3648807,63,False,1,0,4,6,1,2,4,0,0.0,255.3648807,Advance (31-90),1,0,0,1.0,CES,CAD,Popołudnie (14-17),0,0,0,0,0,1
1031,SOUTH MERIDIAN,LANG_01,One-Way,4.0,microsoft,MetaSearches,MetaSearches,2,0,0,0,15.0,Logged-Out,No_Program,53.426570299999995,5,False,2,0,12,0,0,4,2,0,0.0,53.426570299999995,Last Minute (0-7),0,0,0,1.0,BIF,CUX,Popołudnie (14-17),0,0,0,0,0,0
1032,UPPER APEX,LANG_09,One-Way,36.0,google,MetaSearches,Organic Search,2,0,0,0,20.0,Logged-Out,No_Program,20.2217562,37,False,2,0,1,3,0,1,1,1,0.0,20.2217562,Advance (31-90),0,0,0,1.0,BOS,CAJ,Wieczór (18-23),0,0,0,0,0,0
1033,UPPER VERTEX,LANG_11,Round-Trip,18.0,google,Direct,Direct,1,0,0,0,11.0,Logged-In,No_Program,38.7547255,19,False,1,0,10,1,0,4,2,0,0.0,38.7547255,Medium (15-30),1,0,0,1.0,CAJ,CUK,Południe (10-13),0,0,0,0,0,0
1034,SOUTH MERIDIAN,LANG_02,Round-Trip,41.0,google,MetaSearches,MetaSearches,1,0,0,0,16.0,Logged-Out,No_Program,44.5479113,42,False,1,0,2,0,0,1,4,0,0.0,44.5479113,Advance (31-90),1,0,0,1.0,BIF,CEW,Popołudnie (14-17),0,0,0,0,0,0
1035,LOWER VERTEX,LANG_02,Round-Trip,71.0,apple,Organic Search,Organic Search,3,0,0,0,17.0,Logged-Out,No_Program,180.130131,72,False,3,0,4,2,0,2,2,0,0.0,180.130131,Advance (31-90),0,0,1,1.0,BUF,CAJ,Popołudnie (14-17),0,0,0,0,0,0
1036,NEW AURORA,LANG_02,One-Way,80.0,google,Paid Search,Paid Search,1,0,0,0,10.0,Logged-Out,No_Program,18.0584129,81,False,1,0,5,5,1,2,2,0,0.0,18.0584129,Advance (31-90),1,0,0,1.0,CUR,CIX,Południe (10-13),0,0,0,0,0,0
1037,LOWER ZENITH,LANG_02,Round-Trip,16.0,google,Paid Search,Paid Search,2,0,0,0,17.0,Logged-Out,No_Program,89.7691102,17,False,2,0,2,3,0,1,4,0,0.0,89.7691102,Medium (15-30),0,0,0,1.0,CEW,BAZ,Popołudnie (14-17),0,0,0,0,0,0
1038,UPPER APEX,LANG_09,One-Way,66.0,microsoft,Direct,Paid Search,2,1,0,0,11.0,Logged-Out,No_Program,13.7779827,67,False,3,0,5,6,1,2,1,1,0.0,13.7779827,Advance (31-90),0,0,0,0.6666666666666666,CUB,CAJ,Południe (10-13),0,0,0,0,0,0
1039,UPPER APEX,LANG_09,One-Way,3.0,google,Paid Search,Organic Search,1,0,0,0,11.0,Logged-In,No_Program,66.8700507,4,False,1,0,9,0,0,3,2,0,0.0,66.8700507,Last Minute (0-7),1,0,0,1.0,CAW,BAP,Południe (10-13),0,0,0,0,0,0
1040,UPPER APEX,LANG_09,One-Way,4.0,google,Direct,Direct,1,0,1,0,20.0,Logged-Out,No_Program,23.6216016,5,False,2,1,10,0,0,4,1,1,0.0,23.6216016,Last Minute (0-7),0,1,0,0.5,CAJ,BED,Wieczór (18-23),0,0,0,0,0,0
1041,UPPER APEX,LANG_09,Round-Trip,39.0,microsoft,Paid MetaSearches,Paid MetaSearches,1,0,0,0,21.0,Logged-Out,No_Program,8.7921424,40,False,1,0,4,0,0,2,2,0,0.0,8.7921424,Advance (31-90),1,0,0,1.0,CAJ,BEH,Wieczór (18-23),0,0,0,0,0,0
1042,EAST ZENITH,LANG_08,One-Way,47.0,apple,MetaSearches,MetaSearches,3,0,0,0,21.0,Logged-Out,No_Program,135.4297449,48,False,3,0,1,5,1,1,2,0,0.0,135.4297449,Advance (31-90),0,0,1,1.0,CAD,BIW,Wieczór (18-23),0,0,0,0,0,0
1043,NEW APEX,LANG_02,One-Way,10.0,google,Direct,Organic Search,1,0,0,0,15.0,Logged-In,No_Program,30.0122659,11,False,1,0,3,4,0,1,2,0,0.0,30.0122659,Short (8-14),1,0,0,1.0,BIT,CUW,Popołudnie (14-17),0,0,0,0,0,1
1044,GREAT MERIDIAN,LANG_03,Round-Trip,29.0,mozilla,Paid Search,Paid Search,1,0,0,0,13.0,Logged-Out,No_Program,35.020377800000006,30,False,1,0,3,4,0,1,2,0,0.0,35.020377800000006,Medium (15-30),1,0,0,1.0,CAJ,CIR,Południe (10-13),0,0,0,0,0,1
1045,EAST HORIZON,LANG_02,Round-Trip,2.0,google,Direct,Direct,1,0,0,0,16.0,Logged-Out,No_Program,51.368588800000005,3,False,1,0,2,6,1,1,2,0,0.0,51.368588800000005,Last Minute (0-7),1,0,0,1.0,CER,CAJ,Popołudnie (14-17),0,0,0,0,0,0
1046,SOUTH HORIZON,LANG_02,One-Way,23.0,google,Paid Search,MetaSearches,2,0,0,0,11.0,Logged-Out,No_Program,65.8130063,24,False,2,0,11,4,0,4,1,1,0.0,65.8130063,Medium (15-30),0,0,0,1.0,BAN,CAJ,Południe (10-13),0,0,0,0,0,0
1047,LOWER VERTEX,LANG_02,Round-Trip,28.0,google,Paid Search,Referrals,1,0,0,0,19.0,Logged-Out,No_Program,29.3316972,28,False,1,0,3,3,0,1,2,0,0.0,29.3316972,Medium (15-30),1,0,0,1.0,CUJ,CAJ,Wieczór (18-23),0,0,0,0,0,0
1048,LOWER VERTEX,LANG_02,Round-Trip,197.0,google,Paid Search,Paid Search,2,0,2,1,12.0,Logged-Out,No_Program,386.3839922,198,False,5,1,8,4,0,3,2,0,0.0,386.3839922,Early Bird (90+),0,1,0,0.4,BUM,BED,Południe (10-13),0,0,0,0,0,0
1049,SOUTH HORIZON,LANG_02,Round-Trip,2.0,google,Paid Search,Paid Search,2,0,0,0,13.0,Logged-Out,No_Program,66.63534229999999,3,False,2,0,12,1,0,4,2,0,0.0,66.63534229999999,Last Minute (0-7),0,0,0,1.0,CAV,CAJ,Południe (10-13),0,0,0,0,0,0
1050,UPPER APEX,LANG_09,Round-Trip,0.0,apple,Direct,Direct,1,0,0,0,14.0,Logged-Out,No_Program,58.4441048,0,False,1,0,12,3,0,4,2,0,0.0,58.4441048,Error/Past,1,0,0,1.0,CAJ,BIH,Popołudnie (14-17),0,0,0,0,0,0
1051,UPPER APEX,LANG_02,Round-Trip,42.0,microsoft,MetaSearches,MetaSearches,1,0,0,0,9.0,Logged-In,No_Program,25.395191900000004,43,False,1,0,4,5,1,2,2,0,0.0,25.395191900000004,Advance (31-90),1,0,0,1.0,CAJ,CUJ,Rano (6-9),0,0,0,0,0,0
1052,UPPER APEX,LANG_09,One-Way,40.0,google,Paid Search,Paid Search,1,0,1,0,23.0,Logged-In,No_Program,6.5726918,41,False,2,1,1,3,0,1,1,1,0.0,6.5726918,Advance (31-90),0,1,0,0.5,CAJ,CEJ,Wieczór (18-23),0,0,0,0,0,0
