,MARKET,LANGUAGE,FLIGHT_TYPE,DTD,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,ADULTS,TEENAGERS,CHILDREN,INFANTS,HOUR_OF_THE_DAY_PL_TIME,LOGIN_STATUS,LOYALTY_MEMBERSHIP_PROGRAM,FARE_YQ_TICKET,CALCULATED_DTD,IS_ANOMALY_DTD,TOTAL_PASSENGERS,HAS_CHILDREN_OR_INFANTS,TRIP_MONTH,TRIP_DAY_OF_WEEK,IS_WEEKEND_FLIGHT,TRIP_QUARTER,NUMBER_OF_SEGMENTS,IS_DIRECT_FLIGHT,TOTAL_EMD_SPEND,TOTAL_REVENUE,BOOKING_WINDOW,IS_SOLO_TRAVELER,IS_FAMILY,IS_ADULT_GROUP,ADULT_RATIO,ORIGIN_AIRPORT,DESTINATION_AIRPORT,FLIGHT_TIME_OF_DAY,TARGET_BUSINESS_LOUNGE,TARGET_MEAL,TARGET_PET,TARGET_SPECIAL_EQUIPMENT,TARGET_FAST_TRACK,TARGET_BAGGAGE
0,GREAT MERIDIAN,LANG_03,Round-Trip,85.0,google,Paid Search,Paid Search,3,0,0,0,14.0,Logged-Out,No_Program,67.4812348,86,False,3,0,1,6,1,1,2,0,0.0,67.4812348,Advance (31-90),0,0,1,1.0,CEG,CAJ,Popołudnie (14-17),0,0,0,0,0,0
1,SOUTH MERIDIAN,LANG_09,Round-Trip,9.0,apple,Direct,Direct,1,0,0,0,12.0,Logged-Out,No_Program,23.655009,10,False,1,0,2,3,0,1,2,0,0.0,23.655009,Short (8-14),1,0,0,1.0,CAJ,BIF,Południe (10-13),0,0,0,0,0,0
2,GREAT AURORA,LANG_10,One-Way,27.0,apple,Direct,Direct,1,0,0,0,23.0,Logged-In,No_Program,13.6148004,27,False,1,0,1,5,1,1,2,0,0.0,13.6148004,Medium (15-30),1,0,0,1.0,CEW,BIW,Wieczór (18-23),0,0,0,0,0,0
3,UPPER APEX,LANG_09,Round-Trip,18.0,microsoft,Organic Search,Paid MetaSearches,1,0,0,0,18.0,Logged-Out,No_Program,88.34458439999999,19,False,1,0,11,0,0,4,2,0,0.0,88.34458439999999,Medium (15-30),1,0,0,1.0,BIC,CAJ,Wieczór (18-23),0,0,0,0,0,0
4,NORTH HORIZON,LANG_04,Round-Trip,24.0,apple,Paid Search,Paid Search,1,0,0,0,19.0,Logged-Out,No_Program,33.1833991,25,False,1,0,2,6,1,1,2,0,0.0,33.1833991,Medium (15-30),1,0,0,1.0,CUN,CAJ,Wieczór (18-23),0,0,0,0,0,0
5,UPPER VERTEX,LANG_11,Round-Trip,76.0,apple,Direct,Direct,1,0,0,0,16.0,Logged-In,No_Program,18.2802723,77,False,1,0,1,0,0,1,2,0,0.0,18.2802723,Advance (31-90),1,0,0,1.0,CAJ,BEH,Popołudnie (14-17),0,0,0,0,0,0
6,UPPER APEX,LANG_09,Round-Trip,177.0,google,Paid Search,Paid Search,2,0,1,0,19.0,Logged-In,No_Program,123.4043658,178,False,3,1,8,4,0,3,2,0,0.0,123.4043658,Early Bird (90+),0,1,0,0.6666666666666666,CAJ,CIR,Wieczór (18-23),0,0,0,0,0,0
7,UPPER MERIDIAN,LANG_02,Round-Trip,7.0,apple,Direct,Direct,1,0,0,0,12.0,Logged-Out,No_Program,51.58573689999999,8,False,1,0,10,3,0,4,2,0,0.0,51.58573689999999,Short (8-14),1,0,0,1.0,BAP,CAJ,Południe (10-13),0,0,0,0,0,0
8,UPPER APEX,LANG_09,One-Way,4.0,google,Direct,Partners,2,0,0,0,18.0,Logged-In,No_Program,22.1482496,5,False,2,0,2,4,0,1,1,1,0.0,22.1482496,Last Minute (0-7),0,0,0,1.0,CAJ,BAG,Wieczór (18-23),0,0,0,0,0,0
9,UPPER APEX,LANG_09,Round-Trip,124.0,google,Direct,Direct,1,0,0,0,20.0,Logged-Out,No_Program,51.0636392,125,False,1,0,6,5,1,2,2,0,0.0,51.0636392,Early Bird (90+),1,0,0,1.0,CAJ,BIK,Wieczór (18-23),0,0,0,0,0,0
10,SOUTH VERTEX,LANG_02,Round-Trip,26.0,microsoft,Paid Search,Paid Search,1,0,1,0,17.0,Logged-Out,No_Program,83.2807935,27,False,2,1,11,4,0,4,2,0,0.0,83.2807935,Medium (15-30),0,1,0,0.5,CUD,CAJ,Popołudnie (14-17),0,0,0,0,0,1
11,UPPER APEX,LANG_09,One-Way,66.0,other,Direct,Direct,1,0,0,0,19.0,Logged-In,No_Program,8.6396676,66,False,1,0,3,6,1,1,1,1,0.0,8.6396676,Advance (31-90),1,0,0,1.0,CAJ,BAB,Wieczór (18-23),0,0,0,0,0,0
12,SOUTH MERIDIAN,LANG_02,Round-Trip,22.0,apple,MetaSearches,MetaSearches,1,0,0,0,22.0,Logged-Out,No_Program,34.7788166,23,False,1,0,11,4,0,4,2,0,0.0,34.7788166,Medium (15-30),1,0,0,1.0,BIT,CAJ,Wieczór (18-23),0,0,0,0,0,0
13,UPPER APEX,LANG_09,Round-Trip,29.0,mozilla,Direct,Direct,1,0,0,0,13.0,Logged-Out,No_Program,108.621163,30,False,1,0,12,4,0,4,2,0,0.0,108.621163,Medium (15-30),1,0,0,1.0,CAJ,BUF,Południe (10-13),0,0,0,0,0,0
14,LOWER VERTEX,LANG_02,Round-Trip,34.0,google,Paid Search,Paid Search,1,0,0,0,10.0,Logged-Out,No_Program,40.5994136,35,False,1,0,1,3,0,1,4,0,0.0,40.5994136,Advance (31-90),1,0,0,1.0,BUF,BEZ,Południe (10-13),0,0,0,0,0,0
15,NORTH HORIZON,LANG_04,Round-Trip,119.0,apple,Paid Search,Paid Search,2,0,0,0,20.0,Logged-Out,No_Program,74.6839559,120,False,2,0,6,4,0,2,2,0,0.0,74.6839559,Early Bird (90+),0,0,0,1.0,CEG,CAJ,Wieczór (18-23),0,0,0,0,0,0
16,UPPER APEX,LANG_09,Round-Trip,0.0,apple,Direct,Direct,1,0,0,0,21.0,Logged-In,No_Program,37.47625,1,False,1,0,1,4,0,1,2,0,0.0,37.47625,Last Minute (0-7),1,0,0,1.0,CAJ,CAV,Wieczór (18-23),0,0,0,0,0,0
17,UPPER APEX,LANG_09,One-Way,3.0,apple,Direct,Organic Search,1,0,0,0,18.0,Logged-Out,No_Program,8.7595916,4,False,1,0,11,4,0,4,2,0,0.0,8.7595916,Last Minute (0-7),1,0,0,1.0,BUB,CAW,Wieczór (18-23),0,0,0,0,0,0
18,UPPER APEX,LANG_02,Round-Trip,136.0,google,Direct,Email,2,0,0,0,19.0,Logged-In,No_Program,299.7774492,136,False,2,0,3,3,0,1,2,0,0.0,299.7774492,Early Bird (90+),0,0,0,1.0,CAJ,BUN,Wieczór (18-23),0,0,0,0,0,0
19,LOWER VERTEX,LANG_02,Round-Trip,24.0,mozilla,Direct,Direct,1,0,0,0,9.0,Logged-Out,No_Program,150.1174368,25,False,1,0,3,2,0,1,2,0,0.0,150.1174368,Medium (15-30),1,0,0,1.0,CAJ,DAD,Rano (6-9),0,0,0,0,0,0
20,UPPER APEX,LANG_09,One-Way,24.0,google,Organic Search,Organic Search,1,0,0,0,12.0,Logged-Out,No_Program,16.4214503,25,False,1,0,10,4,0,4,2,0,0.0,16.4214503,Medium (15-30),1,0,0,1.0,CUR,CAW,Południe (10-13),0,0,0,0,0,0
21,UPPER APEX,LANG_09,Round-Trip,17.0,apple,Direct,Direct,1,0,0,0,19.0,Logged-In,No_Program,15.9858692,18,False,1,0,2,0,0,1,2,0,0.0,15.9858692,Medium (15-30),1,0,0,1.0,CAJ,BOW,Wieczór (18-23),0,0,0,0,0,0
22,OLD ZENITH,LANG_02,Round-Trip,7.0,microsoft,Direct,Referrals,1,0,0,0,18.0,Logged-In,No_Program,37.9426687,8,False,1,0,12,6,1,4,2,0,0.0,37.9426687,Short (8-14),1,0,0,1.0,BUS,CAJ,Wieczór (18-23),0,0,0,0,0,0
23,UPPER APEX,LANG_02,Round-Trip,53.0,google,Direct,Direct,1,0,0,0,11.0,Logged-Out,LO,30.583189799999996,54,False,1,0,4,5,1,2,2,0,0.0,30.583189799999996,Advance (31-90),1,0,0,1.0,CAJ,CAV,Południe (10-13),0,0,0,0,0,0
24,UPPER APEX,LANG_09,Round-Trip,10.0,mozilla,Paid Search,Paid Search,0,1,0,0,20.0,Logged-In,No_Program,6.9179016,11,False,1,0,11,4,0,4,2,0,0.0,6.9179016,Short (8-14),1,0,0,0.0,DAN,CAJ,Wieczór (18-23),0,0,0,0,0,0
25,UPPER APEX,LANG_09,Round-Trip,22.0,mozilla,Paid Search,Organic Search,1,0,0,0,14.0,Logged-Out,No_Program,23.2001544,23,False,1,0,10,4,0,4,2,0,0.0,23.2001544,Medium (15-30),1,0,0,1.0,CAJ,CUR,Popołudnie (14-17),0,0,0,0,0,0
26,UPPER APEX,LANG_02,Round-Trip,48.0,google,MetaSearches,MetaSearches,1,0,0,1,19.0,Logged-Out,No_Program,104.2430804,49,False,2,1,12,4,0,4,2,0,0.0,104.2430804,Advance (31-90),0,1,0,0.5,CAJ,BON,Wieczór (18-23),0,0,0,0,0,0
27,UPPER MERIDIAN,LANG_01,Round-Trip,11.0,apple,Email,Email,1,0,0,0,10.0,Logged-Out,No_Program,108.9890727,12,False,1,0,1,0,0,1,2,0,0.0,108.9890727,Short (8-14),1,0,0,1.0,CAJ,BIC,Południe (10-13),0,0,0,0,0,0
28,UPPER APEX,LANG_09,Round-Trip,39.0,google,Paid Search,Paid Search,1,0,0,0,16.0,Logged-Out,No_Program,303.2513905,40,False,1,0,3,0,0,1,2,0,0.0,303.2513905,Advance (31-90),1,0,0,1.0,BED,BUM,Popołudnie (14-17),0,0,0,0,0,0
29,NEW APEX,LANG_02,Round-Trip,136.0,google,Paid Search,Paid Search,2,0,0,0,13.0,Logged-Out,No_Program,32.1417735,137,False,2,0,7,3,0,3,4,0,0.0,32.1417735,Early Bird (90+),0,0,0,1.0,CUW,BED,Południe (10-13),0,0,0,0,0,0
30,NORTH ZENITH,LANG_02,One-Way,14.0,apple,Direct,Direct,1,0,0,0,16.0,Logged-Out,No_Program,26.104885,14,False,1,0,12,2,0,4,1,1,0.0,26.104885,Short (8-14),1,0,0,1.0,CAJ,CEW,Popołudnie (14-17),0,0,0,0,0,0
31,UPPER APEX,LANG_02,One-Way,34.0,apple,Direct,Direct,1,0,0,0,13.0,Logged-In,No_Program,19.6298456,34,False,1,0,11,3,0,4,1,1,0.0,19.6298456,Advance (31-90),1,0,0,1.0,CAJ,BAZ,Południe (10-13),0,0,0,0,0,0
32,LOWER VERTEX,LANG_02,Round-Trip,51.0,apple,Direct,Direct,1,0,0,0,8.0,Logged-In,No_Program,91.7170186,52,False,1,0,4,3,0,2,4,0,0.0,91.7170186,Advance (31-90),1,0,0,1.0,BUF,CUB,Rano (6-9),0,0,0,0,0,0
33,UPPER APEX,LANG_09,Round-Trip,14.0,google,Direct,Direct,1,0,0,0,13.0,Logged-In,No_Program,15.9122016,15,False,1,0,11,3,0,4,2,0,0.0,15.9122016,Medium (15-30),1,0,0,1.0,CAJ,BEZ,Południe (10-13),0,0,0,0,0,0
34,UPPER APEX,LANG_09,Round-Trip,51.0,apple,Direct,Direct,1,0,0,0,13.0,Logged-In,No_Program,44.430557099999994,52,False,1,0,2,1,0,1,7,0,0.0,44.430557099999994,Advance (31-90),1,0,0,1.0,CAW,BAN,Południe (10-13),0,0,0,0,0,0
35,OLD AURORA,LANG_02,Round-Trip,257.0,apple,Direct,Direct,2,0,0,0,15.0,Logged-In,No_Program,43.157649500000005,258,False,2,0,8,4,0,3,2,0,0.0,43.157649500000005,Early Bird (90+),0,0,0,1.0,BOT,CAJ,Popołudnie (14-17),0,0,0,0,0,0
36,UPPER APEX,LANG_09,Round-Trip,20.0,google,Paid Search,Paid Search,1,0,0,0,11.0,Logged-Out,No_Program,19.87312,21,False,1,0,2,1,0,1,2,0,0.0,19.87312,Medium (15-30),1,0,0,1.0,CAJ,CEW,Południe (10-13),0,0,0,0,0,0
37,UPPER APEX,LANG_09,One-Way,9.0,google,Direct,Paid Search,1,0,0,0,13.0,Logged-Out,No_Program,10.0444916,10,False,1,0,11,0,0,4,2,0,0.0,10.0444916,Short (8-14),1,0,0,1.0,CEX,BED,Południe (10-13),0,0,0,0,0,0
38,NEW AURORA,LANG_02,Round-Trip,27.0,apple,Paid Search,Paid Search,1,0,0,0,14.0,Logged-Out,No_Program,6.8703603,28,False,1,0,3,2,0,1,2,0,0.0,6.8703603,Medium (15-30),1,0,0,1.0,CUR,CAJ,Popołudnie (14-17),0,0,0,0,0,0
39,UPPER VERTEX,LANG_10,Round-Trip,11.0,apple,MetaSearches,MetaSearches,1,0,0,0,17.0,Logged-Out,No_Program,111.1871083,12,False,1,0,10,6,1,4,2,0,0.0,111.1871083,Short (8-14),1,0,0,1.0,CAJ,CES,Popołudnie (14-17),0,0,1,0,0,0
40,NEW APEX,LANG_02,One-Way,15.0,google,Paid Search,Paid Search,2,0,0,0,10.0,Logged-Out,No_Program,43.458316100000005,16,False,2,0,11,2,0,4,1,1,0.0,43.458316100000005,Medium (15-30),0,0,0,1.0,CAJ,BEK,Południe (10-13),0,0,0,0,0,0
41,UPPER APEX,LANG_09,Round-Trip,110.0,mozilla,MetaSearches,MetaSearches,1,0,0,0,16.0,Logged-Out,No_Program,201.733583,111,False,1,0,3,3,0,1,2,0,0.0,201.733583,Early Bird (90+),1,0,0,1.0,CAJ,BUN,Popołudnie (14-17),0,0,0,0,0,0
42,WEST VERTEX,LANG_02,Round-Trip,3.0,samsung,Direct,Direct,1,0,0,0,19.0,Logged-Out,No_Program,29.7385822,4,False,1,0,3,3,0,1,4,0,0.0,29.7385822,Last Minute (0-7),1,0,0,1.0,CIH,BIC,Wieczór (18-23),0,0,0,0,0,0
43,UPPER APEX,LANG_09,Round-Trip,214.0,google,MetaSearches,MetaSearches,2,0,0,0,18.0,Logged-Out,No_Program,55.9462592,215,False,2,0,9,5,1,3,2,0,0.0,55.9462592,Early Bird (90+),0,0,0,1.0,CAJ,BAG,Wieczór (18-23),0,0,0,0,1,0
44,SOUTH HORIZON,LANG_02,One-Way,29.0,google,MetaSearches,MetaSearches,1,0,0,0,11.0,Logged-Out,No_Program,16.597481600000002,30,False,1,0,1,2,0,1,2,0,0.0,16.597481600000002,Medium (15-30),1,0,0,1.0,CEW,BED,Południe (10-13),0,0,0,0,0,0
45,UPPER MERIDIAN,LANG_01,Round-Trip,150.0,apple,Paid Search,Paid Search,2,0,0,0,15.0,Logged-Out,No_Program,65.78473849999999,151,False,2,0,4,1,0,2,4,0,0.0,65.78473849999999,Early Bird (90+),0,0,0,1.0,BUD,BOX,Popołudnie (14-17),0,0,0,0,0,0
46,CENTRAL MERIDIAN,LANG_02,Round-Trip,34.0,google,MetaSearches,MetaSearches,1,0,2,0,9.0,Logged-Out,No_Program,60.9590824,35,False,3,1,12,4,0,4,2,0,0.0,60.9590824,Advance (31-90),0,1,0,0.3333333333333333,BIW,CAJ,Rano (6-9),0,0,0,0,0,0
47,UPPER APEX,LANG_09,Round-Trip,18.0,google,Direct,Partners,1,0,0,0,10.0,Logged-Out,No_Program,12.0540752,19,False,1,0,1,0,0,1,2,0,0.0,12.0540752,Medium (15-30),1,0,0,1.0,CEJ,CAJ,Południe (10-13),0,0,0,0,0,0
48,UPPER APEX,LANG_09,Round-Trip,20.0,apple,Internal,Internal,1,0,0,0,14.0,Logged-In,LO,47.9344794,21,False,1,0,11,1,0,4,2,0,0.0,47.9344794,Medium (15-30),1,0,0,1.0,CAJ,BOL,Popołudnie (14-17),0,0,0,0,0,0
49,WEST HORIZON,LANG_02,Round-Trip,66.0,apple,MetaSearches,Organic Search,2,0,0,0,21.0,Logged-Out,No_Program,49.0964573,67,False,2,0,4,3,0,2,2,0,0.0,49.0964573,Advance (31-90),0,0,0,1.0,CIC,CAJ,Wieczór (18-23),0,0,0,0,0,0
50,UPPER MERIDIAN,LANG_09,One-Way,36.0,microsoft,MetaSearches,MetaSearches,1,1,0,0,7.0,Logged-Out,No_Program,33.1902519,37,False,2,0,2,5,1,1,1,1,0.0,33.1902519,Advance (31-90),0,0,0,0.5,BAP,CAJ,Rano (6-9),0,0,0,0,0,0
51,UPPER APEX,LANG_09,Round-Trip,57.0,google,Direct,MetaSearches,2,0,0,0,21.0,Logged-Out,No_Program,71.0481172,58,False,2,0,1,3,0,1,2,0,0.0,71.0481172,Advance (31-90),0,0,0,1.0,CAJ,CUM,Wieczór (18-23),0,0,0,0,0,0
52,UPPER APEX,LANG_09,Round-Trip,21.0,opera,MetaSearches,MetaSearches,2,0,0,0,20.0,Logged-Out,No_Program,58.017517999999995,22,False,2,0,12,2,0,4,2,0,0.0,58.017517999999995,Medium (15-30),0,0,0,1.0,CAJ,BIH,Wieczór (18-23),0,0,0,0,0,0
53,OLD AURORA,LANG_02,Round-Trip,22.0,google,Paid Search,Paid Search,2,0,0,0,22.0,Logged-Out,No_Program,46.6354455,23,False,2,0,10,3,0,4,2,0,0.0,46.6354455,Medium (15-30),0,0,0,1.0,BOT,CAJ,Wieczór (18-23),0,0,0,0,0,0
54,LOWER VERTEX,LANG_02,One-Way,25.0,google,Organic Search,Organic Search,1,0,0,0,7.0,Logged-In,No_Program,32.03684,26,False,1,0,11,3,0,4,1,1,0.0,32.03684,Medium (15-30),1,0,0,1.0,CAJ,CER,Rano (6-9),0,0,0,0,0,0
55,UPPER APEX,LANG_09,One-Way,3.0,google,Direct,Direct,1,0,0,0,13.0,Logged-Out,No_Program,16.9289858,4,False,1,0,9,1,0,3,1,1,0.0,16.9289858,Last Minute (0-7),1,0,0,1.0,CUB,CAJ,Południe (10-13),0,0,0,0,0,0
56,UPPER APEX,LANG_09,One-Way,22.0,google,Paid Search,Paid Search,1,0,0,0,13.0,Logged-Out,No_Program,18.0841109,23,False,1,0,4,3,0,2,1,1,0.0,18.0841109,Medium (15-30),1,0,0,1.0,CAJ,CEJ,Południe (10-13),0,0,0,0,0,0
57,UPPER APEX,LANG_09,Round-Trip,62.0,google,Direct,Paid Search,3,0,0,0,11.0,Logged-Out,No_Program,80.1186546,63,False,3,0,1,5,1,1,2,0,0.0,80.1186546,Advance (31-90),0,0,1,1.0,CAJ,BIF,Południe (10-13),0,0,0,0,0,0
58,UPPER APEX,LANG_02,Round-Trip,69.0,apple,Direct,Direct,2,0,0,0,15.0,Logged-In,LO,341.8553544,70,False,2,0,1,1,0,1,2,0,0.0,341.8553544,Advance (31-90),0,0,0,1.0,CAJ,CEF,Popołudnie (14-17),0,0,0,0,0,0
59,UPPER APEX,LANG_09,One-Way,89.0,apple,Direct,Paid Search,2,0,0,0,15.0,Logged-In,No_Program,165.5203897,90,False,2,0,12,5,1,4,1,1,0.0,165.5203897,Advance (31-90),0,0,0,1.0,BUF,CAJ,Popołudnie (14-17),0,0,0,0,0,0
60,UPPER APEX,LANG_02,Round-Trip,30.0,microsoft,Direct,Organic Search,1,1,0,0,10.0,Logged-Out,No_Program,37.0239652,31,False,2,0,12,5,1,4,2,0,0.0,37.0239652,Advance (31-90),0,0,0,0.5,CAJ,COP,Południe (10-13),0,0,0,0,0,0
61,NEW HORIZON,LANG_02,Round-Trip,40.0,google,Direct,Paid Search,1,0,0,0,12.0,Logged-Out,No_Program,59.3662347,41,False,1,0,12,6,1,4,2,0,0.0,59.3662347,Advance (31-90),1,0,0,1.0,CES,CAJ,Południe (10-13),0,0,0,0,0,0
62,CENTRAL VERTEX,LANG_02,Round-Trip,98.0,google,MetaSearches,MetaSearches,2,1,1,0,20.0,Logged-In,No_Program,101.5537847,99,False,4,1,1,1,0,1,2,0,0.0,101.5537847,Early Bird (90+),0,1,0,0.5,BIH,CAJ,Wieczór (18-23),0,0,0,0,0,0
63,UPPER APEX,LANG_09,One-Way,1.0,google,Paid MetaSearches,Paid MetaSearches,1,0,0,0,19.0,Logged-Out,No_Program,8.4036743,2,False,1,0,2,1,0,1,1,1,0.0,8.4036743,Last Minute (0-7),1,0,0,1.0,BEW,CAJ,Wieczór (18-23),0,0,0,0,0,0
64,UPPER APEX,LANG_09,Round-Trip,28.0,apple,Direct,Direct,1,0,0,0,14.0,Logged-In,No_Program,29.698321999999997,29,False,1,0,2,1,0,1,2,0,0.0,29.698321999999997,Medium (15-30),1,0,0,1.0,CAJ,CUD,Popołudnie (14-17),0,0,0,0,0,0
65,UPPER APEX,LANG_09,Round-Trip,9.0,apple,Direct,Direct,2,0,0,0,12.0,Logged-In,No_Program,98.6297806,10,False,2,0,12,6,1,4,2,0,0.0,98.6297806,Short (8-14),0,0,0,1.0,CAJ,CON,Południe (10-13),0,0,0,0,0,1
66,UPPER VERTEX,LANG_02,One-Way,34.0,google,Paid Search,Organic Search,1,0,0,0,18.0,Logged-In,No_Program,14.840595,35,False,1,0,12,4,0,4,1,1,0.0,14.840595,Advance (31-90),1,0,0,1.0,CER,CAJ,Wieczór (18-23),0,0,0,0,0,0
67,UPPER APEX,LANG_09,One-Way,2.0,apple,Direct,Direct,1,0,0,0,18.0,Logged-In,No_Program,5.9632209,3,False,1,0,1,5,1,1,1,1,0.0,5.9632209,Last Minute (0-7),1,0,0,1.0,CAJ,BEZ,Wieczór (18-23),0,0,0,0,0,0
68,UPPER APEX,LANG_09,Round-Trip,29.0,apple,Direct,Direct,1,0,0,0,15.0,Logged-In,LO,22.0394614,30,False,1,0,11,6,1,4,2,0,0.0,22.0394614,Medium (15-30),1,0,0,1.0,CAJ,BUD,Popołudnie (14-17),0,0,0,0,0,0
69,GREAT HORIZON,LANG_02,Round-Trip,30.0,google,Paid Search,Paid Search,1,1,0,0,10.0,Logged-Out,No_Program,59.5752451,31,False,2,0,3,3,0,1,2,0,0.0,59.5752451,Advance (31-90),0,0,0,0.5,BIJ,CAJ,Południe (10-13),0,0,0,0,0,0
70,NORTH HORIZON,LANG_04,Round-Trip,33.0,apple,Direct,Direct,2,0,0,0,22.0,Logged-In,No_Program,76.7624958,34,False,2,0,1,2,0,1,2,0,0.0,76.7624958,Advance (31-90),0,0,0,1.0,CUN,CAJ,Wieczór (18-23),0,0,0,0,0,0
71,UPPER APEX,LANG_02,Round-Trip,18.0,google,Direct,Referrals,1,0,0,0,8.0,Logged-Out,No_Program,82.4254784,19,False,1,0,11,4,0,4,4,0,0.0,82.4254784,Medium (15-30),1,0,0,1.0,BAF,CEJ,Rano (6-9),0,0,0,0,0,0
72,UPPER APEX,LANG_09,Round-Trip,82.0,google,Direct,Direct,2,0,0,0,1.0,Logged-Out,No_Program,64.013718,83,False,2,0,4,4,0,2,2,0,0.0,64.013718,Advance (31-90),0,0,0,1.0,CAJ,CER,Noc (0-5),0,0,0,1,0,0
73,UPPER APEX,LANG_09,Round-Trip,6.0,apple,Direct,Paid Search,1,0,0,0,18.0,Logged-Out,No_Program,164.1952295,7,False,1,0,11,0,0,4,2,0,0.0,164.1952295,Last Minute (0-7),1,0,0,1.0,CAJ,BUF,Wieczór (18-23),0,0,0,0,0,0
74,UPPER APEX,LANG_09,One-Way,56.0,apple,Direct,Direct,1,0,0,0,13.0,Logged-In,No_Program,24.6645121,56,False,1,0,1,6,1,1,1,1,0.0,24.6645121,Advance (31-90),1,0,0,1.0,CAJ,CUJ,Południe (10-13),0,0,0,0,0,0
75,UPPER APEX,LANG_02,One-Way,16.0,apple,Direct,Direct,1,0,0,0,11.0,Logged-In,LO,78.5412257,16,False,1,0,11,6,1,4,1,1,0.0,78.5412257,Medium (15-30),1,0,0,1.0,CAJ,CIX,Południe (10-13),0,0,0,0,0,0
76,NEW AURORA,LANG_02,Round-Trip,18.0,apple,Direct,Direct,1,0,0,0,23.0,Logged-In,No_Program,8.3043087,19,False,1,0,2,3,0,1,2,0,0.0,8.3043087,Medium (15-30),1,0,0,1.0,CUR,CAJ,Wieczór (18-23),0,0,0,0,0,0
77,UPPER APEX,LANG_02,One-Way,0.0,apple,Paid Search,Paid Search,1,0,0,0,17.0,Logged-Out,No_Program,43.7135829,1,False,1,0,1,5,1,1,1,1,0.0,43.7135829,Last Minute (0-7),1,0,0,1.0,CAJ,BAN,Popołudnie (14-17),0,0,0,0,0,0
78,UPPER APEX,LANG_09,One-Way,7.0,google,Paid Search,Paid Search,1,0,0,0,12.0,Logged-Out,No_Program,14.7429426,7,False,1,0,2,3,0,1,1,1,0.0,14.7429426,Last Minute (0-7),1,0,0,1.0,CEX,CAJ,Południe (10-13),0,0,0,0,0,0
79,SOUTH HORIZON,LANG_09,Round-Trip,42.0,apple,Direct,Direct,2,0,0,0,15.0,Logged-In,No_Program,45.6306537,43,False,2,0,11,5,1,4,2,0,0.0,45.6306537,Advance (31-90),0,0,0,1.0,CAV,CAJ,Popołudnie (14-17),0,0,0,0,0,0
80,OLD HORIZON,LANG_02,One-Way,14.0,apple,Paid Search,Organic Search,1,0,0,0,13.0,Logged-Out,No_Program,46.5287988,15,False,1,0,12,1,0,4,1,1,0.0,46.5287988,Medium (15-30),1,0,0,1.0,CAJ,CEN,Południe (10-13),0,0,0,0,0,0
81,UPPER APEX,LANG_09,Round-Trip,60.0,apple,Direct,Direct,2,0,0,0,21.0,Logged-In,No_Program,58.4646632,61,False,2,0,2,5,1,1,2,0,0.0,58.4646632,Advance (31-90),0,0,0,1.0,CAJ,BID,Wieczór (18-23),0,0,0,0,0,0
82,UPPER APEX,LANG_09,Round-Trip,4.0,apple,Direct,Paid Search,1,0,0,0,9.0,Logged-In,LO,13.4254918,5,False,1,0,3,0,0,1,2,0,0.0,13.4254918,Last Minute (0-7),1,0,0,1.0,CAJ,CAW,Rano (6-9),0,0,0,0,0,0
83,UPPER APEX,LANG_09,One-Way,7.0,microsoft,Direct,Direct,1,0,0,0,10.0,Logged-Out,No_Program,14.0165458,8,False,1,0,11,1,0,4,1,1,0.0,14.0165458,Short (8-14),1,0,0,1.0,BEZ,CAJ,Południe (10-13),0,0,0,0,0,0
84,LOWER ZENITH,LANG_02,Round-Trip,102.0,google,Paid Search,Paid Search,2,0,0,0,21.0,Logged-Out,No_Program,73.8269276,103,False,2,0,1,5,1,1,4,0,0.0,73.8269276,Early Bird (90+),0,0,0,1.0,CEW,BIT,Wieczór (18-23),0,0,0,0,0,0
85,UPPER APEX,LANG_09,Round-Trip,42.0,google,Organic Search,Organic Search,1,0,0,0,22.0,Logged-Out,No_Program,41.7374067,43,False,1,0,1,4,0,1,2,0,0.0,41.7374067,Advance (31-90),1,0,0,1.0,CAJ,CON,Wieczór (18-23),0,0,0,0,0,1
86,UPPER APEX,LANG_09,Round-Trip,3.0,apple,Direct,Direct,1,0,0,0,18.0,Logged-Out,No_Program,20.8976136,4,False,1,0,3,4,0,1,5,0,0.0,20.8976136,Last Minute (0-7),1,0,0,1.0,CUB,CEJ,Wieczór (18-23),0,0,0,0,0,0
87,UPPER APEX,LANG_09,One-Way,45.0,google,Direct,Direct,1,0,0,0,18.0,Logged-In,LO,10.2624963,46,False,1,0,3,6,1,1,1,1,0.0,10.2624963,Advance (31-90),1,0,0,1.0,CAJ,BEH,Wieczór (18-23),0,0,0,0,0,0
88,UPPER APEX,LANG_02,Round-Trip,2.0,apple,Direct,Direct,1,0,0,0,10.0,Logged-In,No_Program,43.2266058,3,False,1,0,2,0,0,1,2,0,0.0,43.2266058,Last Minute (0-7),1,0,0,1.0,CIX,CAJ,Południe (10-13),0,0,0,0,0,0
89,UPPER APEX,LANG_09,Round-Trip,168.0,apple,Paid Search,Paid Search,2,0,1,0,11.0,Logged-Out,No_Program,47.94261709999999,169,False,3,1,7,6,1,3,2,0,0.0,47.94261709999999,Early Bird (90+),0,1,0,0.6666666666666666,CEJ,BIH,Południe (10-13),0,0,0,0,0,0
